Rating;Title;Text
4.0 out of 5 stars;Charges nicely but….;These magnetic chargers are doing the job and will charge both my iPhone 12 and my iPad mini 5… it charges at normal speed … my only issue with them is that the tops heat up and get pretty hot… I am a bit concerned about the heat issues… the C tips I have used to charge my Nintendo Switch Light and again, the tips get pretty hot… the micro tips also heat up when charging my flashlights and uv lamps… I will continue to monitor the charging tips to make sure that they do not overheat and cause damage to my equipment… the cables themselves are very nice… I like the nylon braiding on them a. Dina,so like that they are very flexible and not really stiff like other charging cables… so far, everything is going ok… it’s just the heating up part I am worried about…
4.0 out of 5 stars;Works as expected super convenient charging;Was hesitant to believe these would work but they do.I can’t tell you if the charge times are impacted or not but our devices are charging.We have not experienced and unusual wear and tear, connector problems into power plugs for wall plugs or “accessory not compatible” error messages on our smart devices.Side benefit if that it reduces the wear and tear on your charge port.Has not worked with all models of phone cases though as it does need some clearance to fit.
4.0 out of 5 stars;Durable;I like there was different size cords. Cords are durable. Blue light at end is cool. The one thing I don't like is that the phone will come off the magnet quickly and you not know it. Wish they gave more of the 3 foot to 6 foot cords in pack, but still good value.
4.0 out of 5 stars;so far so good ...;For apple device, just make sure you have the arrow correctly inserted or it won't chargeI have more apple devices, so I used up all of them.  And I only used one micro-C.The price is good, and it is easier for me to charge especially when driving.
4.0 out of 5 stars;Does what it says;So far seem like decent cables. Just wish they  give you more included tips for your devices instead of having to buy them separately.
4.0 out of 5 stars;magnets are weak;I bought this for my Oculus to make sure I didn't destroy the charging port while playing hooked to a battery.  It prevents damage very well, but the magnet is so weak that it doesn't stand up very well to my bouncing around when I'm gaming/exercising.  I find myself unplugged any time I get at all vigorous. Still better than destroying my VR headset, though.
4.0 out of 5 stars;Great concept;Honestly this is a game changer . I upgraded my barber station by installing  these ports for my air duster , atomizer gun and I phone . It keeps the ports clean on my equipment and just feels so much nicer . I like the light on the charging cable to show its active and also  the magnetism on the cord tip to attach it to a metal cabinetwhen not being used  . So no more fumbling through wires to find your charge cable . My only complaint is that the picture shows it has a hint of gold and it arrived solid black. Bummer
4.0 out of 5 stars;Great but not phone case friendly;The tips connect with a strong magnet, and the connectors fit into ports tightly.  Since it takes less force to remove the magnet than it does the connector from the device, my phone's case won't allow me to remove the connector without removing the case.Aside from that, I'm very happy with the cables!  As long as the above is not a concern for you, can fully recommend!
4.0 out of 5 stars;Power up;I gave this system a 4 * review due to the fact that it doesn't work well with a case on my phone. The magnets are strong,  length of cords are great,  and it works well with my other devices.
3.0 out of 5 stars;Cool charger not for apple car play or android auto;"The media could not be loaded.
                



 The product comes with a variety of tips usb-c, USB, iphone or apple products compatible and chord sizes included in the package that hold on firmly. Pros: feeling of chord is smooth not plastic kind of like a rope. Flexible tips that also has lighting which is cool at night for easy access. Hold charge very well. Cons: if you do use car play or android auto it will not hold the connection, it does keep disconnecting. If you do want it for that feature i wouldn't recommend it for you but if you want something cool and also to charge multiple devices with one charger then this would be a good product. Be aware thought the tips are single point just if you want to get additional ones to do research so you get the correct ones."
