Text,Rating
magnetic charger job charge iphone ipad mini charge normal speed issue top heat get pretty hot bit concerned heat issue c tip used charge nintendo switch light tip get pretty hot micro tip also heat charging flashlight uv lamp continue monitor charging tip make sure overheat damage equipment cable nice like nylon braiding dina like flexible really stiff like charging cable far everything going ok heating part worried,4.0 out of 5 stars
hesitant believe would work tell charge time impacted device charging experienced unusual wear tear connector problem power plug wall plug accessory compatible error message smart device side benefit reduces wear tear charge port worked model phone case though need clearance fit,4.0 out of 5 stars
like different size cord cord durable blue light end cool one thing like phone come magnet quickly know wish gave foot foot cord pack still good value,4.0 out of 5 stars
apple device make sure arrow correctly inserted chargei apple device used used one micro c price good easier charge especially driving,4.0 out of 5 stars
far seem like decent cable wish give included tip device instead buy separately,4.0 out of 5 stars
bought oculus make sure destroy charging port playing hooked battery prevents damage well magnet weak stand well bouncing around gaming exercising find unplugged time get vigorous still better destroying vr headset though,4.0 out of 5 stars
honestly game changer upgraded barber station installing port air duster atomizer gun phone keep port clean equipment feel much nicer like light charging cable show active also magnetism cord tip attach metal cabinetwhen used fumbling wire find charge cable complaint picture show hint gold arrived solid black bummer,4.0 out of 5 stars
tip connect strong magnet connector fit port tightly since take le force remove magnet connector device phone case allow remove connector without removing case aside happy cable long concern fully recommend,4.0 out of 5 stars
gave system review due fact work well case phone magnet strong length cord great work well device,4.0 out of 5 stars
medium could loaded product come variety tip usb c usb iphone apple product compatible chord size included package hold firmly pro feeling chord smooth plastic kind like rope flexible tip also lighting cool night easy access hold charge well con use car play android auto hold connection keep disconnecting want feature would recommend want something cool also charge multiple device one charger would good product aware thought tip single point want get additional one research get correct one,3.0 out of 5 stars
unaware difference connection bought several week far charge phone supposed wanted data also job wanted bought data cable replace,3.0 out of 5 stars
fast charger fair gave wife realizing use limited couple package slow charger variety compatible going get standardize probably best start since fast charger cool thing multiple device require different adapter let u standardize one cable connect anything another awesome piece magnetic component get go grab phone may mean pull little harder plug magnet let go class c could cause damage,4.0 out of 5 stars
great take away need multiple cord cable used end would give five star rating charge quite fast regular charging cable winner,4.0 out of 5 stars
product simply amazing say least one charging cable multitude connector every modern day plug charge device also save money purchase separate charger device particular one came five different length cable many connector various charger port fact attach phone device via magnetic connection device cable charge device outstanding feature self cable look feel sturdy beat product price point glad purchased,4.0 out of 5 stars
good usb cable vehicle bluetooth work fine cable designed charge transfer data,4.0 out of 5 stars
huge glob connector included without instruction description use huge trial error cumbersome,4.0 out of 5 stars
pro great kiddos tablet old phone might gentle caring charging port kid destroyed tablet pulling charger angle inserting harshly magnet application awesome love hinge long cord phone bedside little light neat bonus finding cord dark actually think charge well decent speed remove charger port tip help block port getting dirty con port tip small hard remove phone case situation would use aux cord play music corded headphone use bluetooth connect unlikely matter also since tip small easily lost removed son already lost one first hour unknown long enough testify sturdiness long term function son insists port lost fell mine tight sure liar lol,4.0 out of 5 stars
well month broke little middle piece broke hope another one personally like blue light easy local night tell difference another wire super charge good charge phone drain charge normal,3.0 out of 5 stars
first got excited loved idea magnetic technology since multiple sclerosis hand often cooperate easily product perfect week say start soon chose adaptive piece device put correctly tested charger see could withstand pull plugged nope came right adapter piece cable figured meh price would deal id noticed lightning charging advertised shining either iphone xr standard apple lightning cable take minute charge untouched charger took hour longer use cable believe try length great issue shorting also came issue well week use would swivel cable would disconnect reconnect would fight find correct positioning sometimes became nuisance gave nice ish week waste money,5.0 out of 5 stars
work fine definitely fast cable oem would charge phone minute,3.0 out of 5 stars
buy several able use cord different end amazing thing lighted magnetic end nice touch use night fact end swivel help place cord due nature cord,4.0 out of 5 stars
easy use,4.0 out of 5 stars
magnet definitely strong made charging work device moved trying charge using device usually failure connection strong enough ipad charge tried different cable charger adapter definitely buying anymore hesitant even try brand,3.0 out of 5 stars
bought way charge mine husband phone could share cord iphone samsung great first got different phone case would work otterbox also allow use apple carplay car use bluetooth worst thing prefer apple carplay husband fan charger fast charge phone switched different charger take small piece charging port order put charger caused u loose small piece eventually found go charging port really good potential product u especially little kid around small piece choking hazard,3.0 out of 5 stars
tried cable yield result even different charge block magnetic charger quite yet take min hour fully charge phone,3.0 out of 5 stars
loved idea ease iphone cord daughter love magnetic cord hoped connection would consistent longer lasting traditional iphone cord nevertheless within week husband managed separate connector cord pulling cord rather breaking magnet seal pull electric cord wall yanking wire pull cord away phone breaking magnetic seal grabbing hold magnet slightly bending away disengage good news several cord set husband careful month use say like iphone cord know must careful disconnecting magnet phone break hinge,4.0 out of 5 stars
